Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Precio
Chardonnay (Unoaked) (Our Town Hall) 2018,South Africa,Franschhoek,Franschhoek Cellar,3.5,98,6.95,2018,6,95
15 Pinot Grigio 2017,Italy,Südtirol - Alto Adige,Castelfeder,3.6,98,10.8,2017,10,8
Sauvignon Blanc 2019,Germany,Pfalz,Oliver Zeter,4.0,98,11.16,2019,11,16
Maìa 2016,Italy,Sardegna,Siddura,3.9,98,22.37,2016,22,37
GG Henkenberg Grauburgunder 2015,Germany,Baden,Salwey,3.8,98,31.16,2015,31,16
Rotlack Riesling Kabinett Feinherb 2018,Germany,Rheingau,Schloss Johannisberg,4.3,99,22.36,2018,22,36
Weissburgunder Trocken 2018,Germany,Pfalz,Heinrich Vollmer,3.4,99,5.33,2018,5,33
The Boy Riesling 2018,Australia,Eden Valley,Two Hands,3.6,99,19.95,2018,19,95
Pouilly-Fuissé 2017,France,Pouilly-Fuissé,Chartron et Trébuchet,4.1,99,17.5,2017,17,5
Pierneef Collection Sauvignon Blanc 2019,South Africa,Franschhoek,La Motte Wine Estate,3.8,99,14.9,2019,14,9
Aigle les Murailles Blanc 2019,Switzerland,Aigle,Henri Badoux,3.8,99,23.17,2019,23,17
Scharzhofberger Riesling Kabinett 2018,Germany,Wiltingen,Egon Müller - Scharzhof,4.4,99,72.0,2018,72
1300 Chardonnay 2019,Argentina,Uco Valley,Andeluna,3.4,99,7.99,2019,7,99
Château Lichten Petite Arvine 2016,Switzerland,Valais,Domaines Rouvinez,3.6,99,29.5,2016,29,5
Zieregg Sauvignon Blanc 2016,Austria,Südsteiermark,Tement,4.0,99,48.43,2016,48,43
La Rocca Soave Classico 2018,Italy,Soave Classico,Pieropan,3.9,99,31.39,2018,31,39
Ruppertsberger Reiterpfad Riesling 2018,Germany,Pfalz,Von Winning,4.1,100,16.02,2018,16,02
T.N. 04 Bronner 2016,Italy,Trentino-Alto Adige,Thomas Niedermayr,3.8,100,20.5,2016,20,5
Winkel Riesling Kabinett 2018,Germany,Rheingau,Schloss Vollrads,3.9,100,12.29,2018,12,29
Catarratto Sicilia Antisa Regaleali 2018,Italy,Terre Siciliane,Tasca d'Almerita,3.7,100,10.9,2018,10,9
Clos des Prouges Pouilly-Fuissé 2017,France,Pouilly-Fuissé,J.A. Ferret,4.3,100,43.65,2017,43,65
Koreaa 2019,Austria,Burgenland,Judith Beck,4.0,100,14.9,2019,14,9
Mineral Riesling Trocken 2017,Germany,Nahe,Emrich-Schönleber,3.7,101,15.95,2017,15,95
Branco 2015,Portugal,Dão,Julia Kemper,3.7,101,17.55,2015,17,55
Sauvignon Blanc 2017,Romania,d Minis,Balla Geza,3.7,101,8.2,2017,8,2
Vom Haus Riesling 2019,Germany,Mosel,Schmitges,3.7,101,8.72,2019,8,72
SL Riesling Trocken 2017,Germany,Mosel,Schloss Lieser,3.8,101,11.8,2017,11,8
Silvaner Trocken 2018,Germany,Franken,Juliusspital,3.6,101,10.59,2018,10,59
Sauvignon Blanc 2018,Israel,Galilee,Gamla,3.7,101,12.1,2018,12,1
Uccellanda Curtefranca 2012,Italy,Curtefranca,Bellavista,4.1,101,39.9,2012,39,9
Deep Blue 2017,Germany,Nahe,Martin Tesch,3.5,101,12.5,2017,12,5
Sancerre Les Baronnes Blanc 2019,France,Sancerre,Henri Bourgeois,4.0,101,18.95,2019,18,95
Dogheria Pinot Bianco Rubicone 2018,Italy,Rubicone,Poderi dal Nespoli,3.8,101,9.37,2018,9,37
Schiefergestein Bockenauer Riesling Trocken 2017,Germany,Nahe,Schäfer-Fröhlich,3.8,101,18.42,2017,18,42
Maximin Grünhäuser Herrenberg Riesling 2017,Germany,Mosel,Maximin Grünhaus,4.0,101,29.9,2017,29,9
Dão Rótulo Branco 2017,Portugal,Dão,Niepoort,3.6,102,10.51,2017,10,51
Catarratto 2017,Italy,Sicilia,Barone Montalto,3.3,102,5.1,2017,5,1
Sauvignon Blanc 2017,South Africa,Stellenbosch,Zevenwacht,3.4,102,11.92,2017,11,92
Stoan 2018,Italy,Südtirol - Alto Adige,Tramin,4.0,102,20.27,2018,20,27
Douro Tiara Branco 2017,Portugal,Douro,Niepoort,4.2,102,26.88,2017,26,88
Twin Oaks Chardonnay 2018,United States,California,Robert Mondavi,3.4,102,7.69,2018,7,69
Cabi Sehr Nett Riesling 2016,Germany,Mosel,Fio,4.0,102,34.59,2016,34,59
Alte Reben Riesling Trocken 2017,Germany,Baden,Alexander Laible,4.1,102,17.2,2017,17,2
Sauvignon Blanc 2015,New Zealand,Marlborough,Mission Estate Winery,3.8,103,14.95,2015,14,95
Quarz Sauvignon 2018,Italy,Trentino-Alto Adige,Terlan (Terlano),4.4,103,69.95,2018,69,95
Clos du Four Mâcon-Milly-Lamartine 2016,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,4.0,103,28.9,2016,28,9
Les Princes Abbés Pinot Blanc Alsace 2017,France,Alsace,Domaines Schlumberger,3.5,103,11.92,2017,11,92
Cuvée Les Caillottes Sancerre 2018,France,Sancerre,Jean-Max Roger,4.1,103,16.5,2018,16,5
Compleo Cuvée Blanc 2018,Switzerland,Zürich,Staatskellerei Zürich,3.8,103,16.08,2018,16,08
Clos Sainte Hune Riesling Alsace 2013,France,Alsace,Trimbach,4.5,103,210.45,2013,210,45
Senftenberger Piri Grüner Veltliner 2018,Austria,Kremstal,Nigl,3.9,103,15.99,2018,15,99
Chardonnay 2016,United States,Russian River Valley,Paul Hobbs,4.1,103,68.32,2016,68,32
Sauvignon Blanc 2018,France,Loire Valley,Domaine Gibault - Danielle de L'Ansee,3.5,103,7.7,2018,7,7
Saint-Aubin 2017,France,Saint-Aubin,Domaine Sylvain Langoureau,3.9,104,21.0,2017,21
Pinot Grigio 2019,South Africa,Coastal Region,Protea,3.3,104,8.95,2019,8,95
Franciscus Grüner Veltliner 2018,Austria,Kremstal,Salomon Undhof,3.7,104,12.4,2018,12,4
Pinot Blanc Alsace Signature 2018,France,Alsace,Wolfberger,3.6,104,6.69,2018,6,69
Ürziger Würzgarten Riesling Spätlese 2017,Germany,Mosel,Markus Molitor,4.2,104,19.5,2017,19,5
Ribolla Gialla Collio 2017,Italy,Collio,Gradis'Ciutta,3.9,104,12.9,2017,12,9
Just Riesling! 2016,Germany,Nahe,Gut Hermannsberg,3.7,104,9.5,2016,9,5
Dellchen Riesling GG 2016,Germany,Nahe,Dönnhoff,4.3,104,49.0,2016,49
Forst Riesling Trocken 2017,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.7,104,16.09,2017,16,09
Am Berg 2019,Austria,Wagram,Bernhard Ott,3.9,104,10.9,2019,10,9
Gewürztraminer '1840' 2015,Italy,Südtirol - Alto Adige,H. Lun,3.7,104,18.95,2015,18,95
Rêve Pecorino Offida 2017,Italy,Offida,Velenosi,4.0,104,14.85,2017,14,85
Bourgogne Chardonnay (Vieilles Vignes) 2018,France,Bourgogne,Albert Bichot,3.9,105,13.8,2018,13,8
Estate Rüdesheim Riesling 2018,Germany,Rüdesheim,Georg Breuer,3.8,105,13.8,2018,13,8
Haardt Riesling 2017,Germany,Pfalz,Müller-Catoir,3.9,105,13.84,2017,13,84
Curioso Bianco 2018,Italy,Toscana,Ponte Lungo,3.7,105,8.72,2018,8,72
Gärtling Grüner Veltliner 2018,Austria,Kremstal,Nigl,3.8,105,9.95,2018,9,95
Terroir Littoral Sauvignon Blanc 2018,France,Pays d'Oc,Fortant,3.4,105,6.59,2018,6,59
Bourgogne Chardonnay (La Vignée) 2018,France,Bourgogne,Bouchard Père & Fils,3.8,105,16.39,2018,16,39
Reserve Chardonnay 2017,South Africa,Walker Bay,Creation,4.1,105,33.0,2017,33
Kiedrich Turmberg Riesling Trocken 2018,Germany,Rheingau,Robert Weil,4.1,105,25.3,2018,25,3
Riesling Alsace 2018,France,Alsace,Trimbach,3.6,105,14.5,2018,14,5
Max Riesling Trocken 2017,Germany,Kanzem,Von Othegraven,3.2,105,15.69,2017,15,69
Leone d'Almerita (Tenuta Regaleali) 2019,Italy,Terre Siciliane,Tasca d'Almerita,4.0,106,9.65,2019,9,65
Elgin Sauvignon Blanc 2016,South Africa,Elgin,Boschendal,3.8,106,31.99,2016,31,99
Pouilly-Fumé Indigene 2018,France,Pouilly-Fumé,Pascal Jolivet,4.0,106,43.65,2018,43,65
Reserva Torrontés 2018,Argentina,Salta,Terrazas de los Andes,3.7,106,18.95,2018,18,95
Kirchspiel Riesling GG 2014,Germany,Rheinhessen,Wittmann,4.2,106,42.8,2014,42,8
The King's Bastard Chardonnay 2016,New Zealand,Marlborough,The Kings Series,3.8,106,16.95,2016,16,95
Sofia Riesling 2016,United States,Monterey County,Francis Ford Coppola,3.4,106,23.46,2016,23,46
Venezia Giulia Pinot Grigio 2018,Italy,Venezia Giulia,Lis Neris,4.0,106,18.9,2018,18,9
Gewürztraminer Campaner 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.9,106,14.72,2018,14,72
Tellus Chardonnay 2018,Italy,Umbria,Falesco,3.5,106,9.9,2018,9,9
Clos de la Bergerie 2014,France,Savennières-Roche-aux-Moines,Nicolas Joly,4.0,106,47.9,2014,47,9
Aufwind Grauer Burgunder 2018,Germany,Pfalz,Hensel,3.9,106,12.48,2018,12,48
Capo Martino 2016,Italy,Venezia Giulia,Jermann,4.0,106,49.9,2016,49,9
Forster Ungeheuer Riesling 2015,Germany,Pfalz,Von Winning,4.2,106,37.95,2015,37,95
Viognier - Sauvignon 2019,France,Pays d'Oc,Paul Mas,3.9,106,5.79,2019,5,79
Sauvignon Blanc 2019,South Africa,Paarl,Backsberg,3.5,107,8.95,2019,8,95
Pessac-Léognan Blanc 2006,France,Pessac-Léognan,Château Haut-Bergey,3.8,107,18.5,2006,18,5
Lepus 2018,Italy,Südtirol - Alto Adige,Franz Haas,3.8,107,16.4,2018,16,4
Sessantenario Malvasia 2014,Italy,Salento,Cantina Sampietrana,4.0,107,6.93,2014,6,93
Chardonnay 2017,United States,California,Crane Lake,3.3,107,7.9,2017,7,9
La Rocca Gavi 2018,Italy,Gavi,Coppo,3.7,107,12.99,2018,12,99
Grillo Sur Sur 2019,Italy,Terre Siciliane,Donnafugata,4.0,107,9.15,2019,9,15
Sauvignon Blanc 2019,South Africa,Constantia,Constantia Glen,3.7,108,12.9,2019,12,9
Val de Montferrand Grande Cuvée Blanc 2016,France,Vin de Pays,Domaine de l'Hortus,3.9,108,17.95,2016,17,95
Uncaged Sauvignon Blanc 2017,United States,North Coast,Z.Alexander Brown,3.4,108,16.33,2017,16,33
Silberlack Riesling Trocken GG 2018,Germany,Rheingau,Schloss Johannisberg,4.4,108,40.73,2018,40,73
Essence du Cap Chardonnay 2018,South Africa,Western Cape,Fleur du Cap,3.6,108,8.75,2018,8,75
Regaleali Bianco Sicilia 2019,Italy,Terre Siciliane,Tasca d'Almerita,3.7,108,7.42,2019,7,42
Kalkmergel Riesling 2017,Germany,Pfalz,Rings,3.6,108,9.26,2017,9,26
Steingrüble 2016,Germany,Baden,Ziereisen,3.8,108,13.95,2016,13,95
Grassnitzberg Sauvignon Blanc 2017,Austria,Südsteiermark,Tement,3.8,108,27.0,2017,27
Chardonnay 2018,South Africa,Stellenbosch,Mulderbosch,3.4,109,14.49,2018,14,49
Ciari Chardonnay 2018,Italy,Venezia,Borgo Molino,3.9,109,10.24,2018,10,24
Finado Pinot Bianco 2018,Italy,Südtirol - Alto Adige,Andrian,3.9,109,10.9,2018,10,9
Leiten Gewürztraminer 2018,Italy,Südtirol - Alto Adige,Nals Margreid,4.0,109,11.21,2018,11,21
Sauvignon Blanc 2018,South Africa,Walker Bay,Creation,3.9,109,12.81,2018,12,81
Bon Vallon Chardonnay 2018,South Africa,Robertson,De Wetshof,3.8,109,12.79,2018,12,79
Riesling Tradition 2018,France,Alsace,Emile Beyer,3.8,109,13.29,2018,13,29
Qvevri 2016,Georgia,Kakheti,Mukhrani,3.8,109,25.9,2016,25,9
Faß 12 Ayler Kupp Unterstenberg Riesling 2017,Germany,Mosel,Peter Lauer,4.3,109,21.94,2017,21,94
Grüner Veltliner Smaragd Axpoint 2018,Austria,Wachau,Domäne Wachau,4.1,109,21.89,2018,21,89
R de Rieussec 2017,France,Bordeaux,Château Rieussec,3.7,110,30.62,2017,30,62
Santa Digna Reserva Chardonnay 2019,Chile,Central Valley,Miguel Torres,3.6,110,7.45,2019,7,45
Felseneck Riesling GG 2016,Germany,Nahe,Schäfer-Fröhlich,4.3,110,53.5,2016,53,5
The Stump Jump Lightly Wooded Chardonnay 2018,Australia,McLaren Vale,d'Arenberg,3.4,110,8.75,2018,8,75
Puiten Pinot Grigio 2015,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.8,110,12.62,2015,12,62
Steinterrassen 2015,Germany,Nahe,Gut Hermannsberg,4.2,110,21.9,2015,21,9
Meruge Branco 2015,Portugal,Douro,Lavradores de Feitoria,4.2,110,18.52,2015,18,52
Jonty's Ducks Pekin White 2017,South Africa,Paarl,Avondale,3.7,110,14.13,2017,14,13
Pošip 2017,Croatia,Dalmatian Coast,Stina,4.1,110,22.0,2017,22
Quincy Haute Victoire 2018,France,Quincy,Henri Bourgeois,3.8,110,15.7,2018,15,7
Wehlener Klosterberg Riesling Spätlese 2015,Germany,Mosel,Markus Molitor,4.0,110,21.95,2015,21,95
Chablis Premier Cru 'Vau de Vey' 2018,France,Chablis 1er Cru 'Vau de Vey',Domaine des Malandes,4.0,110,27.78,2018,27,78
Pinot Gris Trocken 2017,Austria,Burgenland,Kracher,3.6,110,11.69,2017,11,69
Baron de L Pouilly-Fumé 2016,France,Pouilly-Fumé,de Ladoucette,4.4,110,76.43,2016,76,43
RS Grauburgunder 2014,Germany,Baden,Salwey,3.8,111,29.95,2014,29,95
Custoza 2019,Italy,Bianco di Custoza,Cavalchina,3.8,111,8.72,2019,8,72
15 Pinot Grigio 2018,Italy,Südtirol - Alto Adige,Castelfeder,3.8,111,11.82,2018,11,82
Adrianna Vineyard White Stones Chardonnay 2017,Argentina,Mendoza,Catena Zapata,4.4,111,57.51,2017,57,51
Altitud Chardonnay 2016,Argentina,Tupungato,Andeluna,3.4,111,13.26,2016,13,26
Soave Classico 2018,Italy,Soave Classico,Lenotti,3.8,111,4.83,2018,4,83
Puligny-Montrachet 'Les Corvées des Vignes' 2015,France,Puligny-Montrachet,Philippe Chavy,4.3,111,69.99,2015,69,99
Sauvignon Blanc 2018,South Africa,Western Cape,Delaire Graff,3.6,111,12.57,2018,12,57
Chardonnay 2018,United States,Monterey,Hess Select,3.5,111,11.9,2018,11,9
Kirchspiel Riesling GG 2016,Germany,Rheinhessen,Wittmann,4.1,111,47.95,2016,47,95
Grauburgunder Trocken vom Kalkstein 2018,Germany,Pfalz,Neiss,3.9,111,8.95,2018,8,95
Colección Torrontés 2019,Argentina,Calchaqui Valley,Michel Torino,3.9,112,9.89,2019,9,89
Bandol Blanc 2015,France,Bandol,La Bastide Blanche,3.5,112,18.9,2015,18,9
Portal da Calçada Reserva Vinho Verde 2019,Portugal,Vinho Verde,Salvador,3.7,112,6.54,2019,6,54
Rüdesheimer Berg Kaisersteinfels Terrassen Riesling 2015,Germany,Rheingau,Leitz,4.0,112,25.0,2015,25
Cecu d'la Biunda Roero Arneis 2018,Italy,Roero,Monchiero Carbone,3.8,112,11.88,2018,11,88
Pinot Grigio 2019,Italy,Veneto,Torresella,3.9,112,6.77,2019,6,77
Pinot Gris Alsace Réserve Personnelle 2015,France,Alsace,Trimbach,4.0,112,33.59,2015,33,59
The Rhine House Collection Chardonnay 2016,United States,California,Beringer,3.6,112,16.9,2016,16,9
Riesling Trocken 2019,Germany,Rheinhessen,Wittmann,3.7,112,11.02,2019,11,02
Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2014,France,Pessac-Léognan,Château Malartic-Lagravière,4.0,112,66.0,2014,66
Riesling 2018,Germany,Mosel,Reinhard Knebel,3.9,112,10.09,2018,10,09
Beaujolais Blanc 2018,France,Beaujolais,Terres Dorées,3.7,112,12.9,2018,12,9
Sauvignon Blanc 2019,South Africa,Elgin,Paul Cluver,4.1,113,9.89,2019,9,89
Jaraman Chardonnay 2016,Australia,South Australia,Taylors / Wakefield,3.8,113,16.77,2016,16,77
Nik Weis Selection Urban Riesling 2019,Germany,Mosel,St. Urbans-Hof,4.1,113,9.26,2019,9,26
Grillo 2018,Italy,Sicilia,Stemmari,3.3,113,5.02,2018,5,02
Grand Vin La Clape Blanc 2018,France,La Clape,Château l'Hospitalet,3.7,113,36.85,2018,36,85
Aulerde Riesling GG 2016,Germany,Rheinhessen,Wittmann,4.1,113,37.9,2016,37,9
Wehlener Sonnenuhr Riesling Spätlese 2016,Germany,Wehlen,Joh. Jos. Prüm,4.3,113,30.47,2016,30,47
Alte Reben Riesling 2018,Germany,Pfalz,Schneider,3.9,113,13.0,2018,13
Chablis 2018,France,Chablis,Louis Michel & Fils,4.0,113,23.5,2018,23,5
Via Colțul Pietrei Sauvignon Blanc 2018,Romania,Dealu Mare,Vitis Metamorfosis,3.9,113,11.5,2018,11,5
Quartz Stone Chardonnay 2018,South Africa,Paarl,Glen Carlou,4.1,114,23.5,2018,23,5
Mäushöhle Riesling 2016,Germany,Pfalz,Von Winning,3.7,114,14.57,2016,14,57
Petit Chablis 2017,France,Petit Chablis,Domaine des Marronniers,3.9,114,13.3,2017,13,3
Baccaro Grillo 2018,Italy,Sicilia,Farnese,3.3,114,4.86,2018,4,86
Vulkangestein Riesling Trocken 2017,Germany,Nahe,Schäfer-Fröhlich,3.8,114,15.1,2017,15,1
Varidor Riesling Trocken 2018,Germany,Mosel,Carl Loewen,3.8,114,8.9,2018,8,9
Weisser Burgunder 2017,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.7,114,7.95,2017,7,95
Vineyard Selection Chenin Blanc (Barrel Fermented) 2019,South Africa,Stellenbosch,Kleine Zalze,3.8,114,11.25,2019,11,25
Vigna Santa Margherita Vernaccia di San Gimignano 2016,Italy,Vernaccia di San Gimignano,Panizzi,3.9,114,20.32,2016,20,32
Chenin Blanc 2019,South Africa,Stellenbosch,Neethlingshof Estate,3.7,114,10.91,2019,10,91
Schaapenberg Vineyard Reserve Sauvignon Blanc 2017,South Africa,Stellenbosch,Vergelegen,3.8,115,19.95,2017,19,95
Réserve Languedoc Blanc 2018,France,Languedoc,Paul Mas,3.8,115,8.76,2018,8,76
The Young Airhawk 2016,South Africa,Coastal Region,Nederburg,3.7,115,18.42,2016,18,42
Thauvenay Sancerre Blanc 2014,France,Sancerre,Domaine Masson-Blondelet,3.9,115,15.5,2014,15,5
Drouhin - Vaudon Chablis 2018,France,Chablis,Joseph Drouhin,3.7,115,17.07,2018,17,07
Springvale Riesling 2018,Australia,Clare Valley,Grosset,3.9,115,29.9,2018,29,9
Deidesheimer Kalkofen GG 2016,Germany,Pfalz,Von Winning,4.2,115,32.12,2016,32,12
Sauvignon Blanc 2017,Italy,Südtirol - Alto Adige,Alois Lageder,3.7,116,11.9,2017,11,9
Sauvignon Blanc 2019,Chile,Central Valley,Valdivieso,3.5,116,7.75,2019,7,75
Metis Pascal Jolivet Sauvignon Blanc 2017,South Africa,Constantia,Klein Constantia,3.9,116,21.0,2017,21
Chablis 2018,France,Chablis,Gerard Tremblay,3.6,116,13.91,2018,13,91
Anas-Cëtta Langhe Nascetta di Novello 2018,Italy,Langhe,Elvio Cogno,3.7,116,18.9,2018,18,9
Villa Angela Falerio Pecorino 2018,Italy,Falerio Pecorino,Velenosi,3.5,116,8.24,2018,8,24
Chablis 1er Cru 'Côte de Lechet' 2018,France,Chablis 1er Cru 'Côte de Lechet',Bernard Defaix,4.1,116,24.9,2018,24,9
Chardonnay 2017,United States,California,Redwood Creek,3.4,116,7.65,2017,7,65
Riesling 2017,Germany,Pfalz,Schneider,3.8,116,24.5,2017,24,5
Chardonnay 2016,New Zealand,Hawke's Bay,Elephant Hill,3.7,116,19.5,2016,19,5
Riesling Terrassen 2018,Austria,Kamptal,Weingut Bründlmayer,3.8,116,15.25,2018,15,25
Cortese Piemonte 2018,Italy,Piemonte,Araldica,3.4,116,6.3,2018,6,3
Sauvignon Gris 2018,New Zealand,Marlborough,Brancott Estate,4.0,117,9.28,2018,9,28
Tannenberg Sauvignon Blanc 2016,Italy,Südtirol - Alto Adige,Manincor,3.9,117,23.4,2016,23,4
Sauvignon 2019,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,3.8,117,9.9,2019,9,9
Rohstoff Chardonnay 2017,Austria,Burgenland,Hannes Reeh,4.1,117,15.2,2017,15,2
The First Lady Sauvignon Blanc 2019,South Africa,Stellenbosch,Warwick,3.6,117,8.49,2019,8,49
Pinot Grigio 2017,Italy,Südtirol - Alto Adige,Kettmeir,3.9,117,12.99,2017,12,99
Serego Alighieri Possessioni Bianco Veneto 2018,Italy,Veneto,Masi,3.6,117,11.92,2018,11,92
Grüner Veltliner HAID Weinviertel DAC 2018,Austria,Weinviertel,Weingut R&A Pfaffl,3.9,117,10.93,2018,10,93
Graacher Himmelreich Riesling Spätlese 2015,Germany,Graach,Joh. Jos. Prüm,4.2,117,25.84,2015,25,84
Fass 4 2019,Austria,Wagram,Bernhard Ott,4.1,117,15.8,2019,15,8
Laurens Campher 2014,South Africa,Stellenbosch,Muratie,3.9,117,15.95,2014,15,95
Riesling Trocken 2017,Germany,Nahe,Emrich-Schönleber,3.8,118,9.95,2017,9,95
Riesling (Petracine) Langhe 2018,Italy,Langhe,G.D. Vajra,3.9,118,37.9,2018,37,9
Otto Soave 2019,Italy,Soave,Prà,4.0,118,9.45,2019,9,45
Private Bin Chardonnay 2018,New Zealand,North Island,Villa Maria,3.3,118,11.04,2018,11,04
Wildcard Chardonnay (Unoaked) 2017,Australia,South Australia,Peter Lehmann,3.2,118,7.5,2017,7,5
Barrel Fermented Chardonnay 2018,South Africa,Franschhoek,Holden Manz,4.2,119,27.5,2018,27,5
Il Fiore 2015,Italy,Langhe,Braida,3.6,119,11.43,2015,11,43
Contea di Sclafani Nozze d'Oro Regaleali 2017,Italy,Contea di Sclafani,Tasca d'Almerita,4.0,119,15.42,2017,15,42
Rotschiefer Riesling Kabinett 2017,Germany,Mosel,Van Volxem,3.9,119,12.5,2017,12,5
Esprit de Tablas Blanc 2014,United States,Paso Robles,Tablas Creek Vineyard,4.1,119,49.0,2014,49
Grüner Veltliner Smaragd Axpoint 2017,Austria,Wachau,Domäne Wachau,4.1,119,21.9,2017,21,9
Vire-Clessé 2017,France,Viré-Clessé,Les Héritiers du Comte Lafon,4.0,119,29.9,2017,29,9
Gavi 2017,Italy,Gavi,Scanavino,3.3,119,9.49,2017,9,49
The Glass Collection Unwooded Chardonnay 2019,South Africa,Stellenbosch,Glenelly,3.4,119,11.65,2019,11,65
Villa Margon Chardonnay 2017,Italy,Trentino,Tenuta Margon,3.9,119,17.79,2017,17,79
Sauvignon Blanc 2018,South Africa,Walker Bay,Bouchard Finlayson,3.7,119,13.5,2018,13,5
Single Vineyard Sauvignon Blanc 2017,Chile,Casablanca Valley,Errazuriz,3.5,119,13.5,2017,13,5
Sauvignon Blanc 2018,United States,California,Bogle,3.6,119,14.52,2018,14,52
Pievecroce 2018,Italy,Lugana,Costaripa,3.8,119,11.9,2018,11,9
Trebbiano Spoletino Trebium 2018,Italy,Umbria,Antonelli San Marco,3.8,119,14.5,2018,14,5
Vinha Dos Amores Encruzado Dão Branco 2016,Portugal,Dão,Casa de Santar,4.4,120,29.99,2016,29,99
Morillon Muschelkalk 2017,Austria,Südsteiermark,Tement,3.9,120,14.49,2017,14,49
Pinot Grigio Alto Adige 2018,Italy,Südtirol - Alto Adige,Franz Haas,3.9,120,15.9,2018,15,9
Chardonnay Le Bourgogne 2016,France,Bourgogne,Chanson,3.6,120,12.6,2016,12,6
Rkatsiteli 2014,Georgia,Kakheti,Mukhrani,3.7,120,8.95,2014,8,95
Riesling Heiligenstein 2014,Austria,Kamptal,Weingut Bründlmayer,4.0,120,22.7,2014,22,7
Urban.GV Grüner Veltliner 2018,Austria,Kremstal,Stagård,3.7,120,8.9,2018,8,9
Sauvignon Blanc 2019,South Africa,Stellenbosch,Neethlingshof Estate,3.5,121,8.4,2019,8,4
Arinto - Bical 2016,Portugal,Bairrada,Quinta do Ortigao,3.7,121,9.1,2016,9,1
Gaia & Rey Langhe 2017,Italy,Langhe,Gaja,4.5,121,184.2,2017,184,2
Gewurztraminer Classic 2018,France,Alsace,Bestheim,3.8,121,9.5,2018,9,5
Mäushöhle Riesling 2017,Germany,Pfalz,Von Winning,3.7,121,14.57,2017,14,57
Las Pizarras Chardonnay 2016,Chile,Aconcagua Costa,Errazuriz,4.2,121,64.0,2016,64
Mi Pueblo Chardonnay 2019,Chile,Central Valley,Viña Maipo,3.2,121,6.5,2019,6,5
Mâcon-Bussières Les Clos 2018,France,Mâcon-Bussières,Joseph Drouhin,3.8,121,13.55,2018,13,55
Enkircher Steffensberg Riesling Kabinett Feinherb 2018,Germany,Mosel,Villa Huesgen,4.2,122,17.35,2018,17,35
Grande g 2018,Italy,Lugana,Malavasi,4.1,122,21.87,2018,21,87
Rheinschiefer Hallgarten Riesling Trocken 2018,Germany,Rheingau,Peter Jakob Kühn,3.9,122,15.11,2018,15,11
Greco di Tufo 2018,Italy,Greco di Tufo,Nativ,3.8,122,8.99,2018,8,99
Lafóa Sauvignon 2010,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),4.0,122,26.27,2010,26,27
Reserve Spéciale Chardonnay 2018,France,Pays d'Oc,Philibert du Charme,3.9,122,6.9,2018,6,9
Mash Pitt 2015,Austria,Neusiedlersee,Pittnauer,3.7,123,24.99,2015,24,99
Vieilles Vignes Côtes Catalanes Blanc 2017,France,Côtes Catalanes,Domaine du Clos des Fées,3.8,123,23.99,2017,23,99
Loibner Grüner Veltliner Smaragd Vinothekfüllung 2017,Austria,Wachau,Weingut Knoll,4.2,123,45.0,2017,45
Steinriegl Riesling 2017,Austria,Wachau,Prager,4.0,123,18.42,2017,18,42
GB Sauvage Riesling 2019,Germany,Rheingau,Georg Breuer,3.7,123,9.76,2019,9,76
Laumersheimer Kapellenberg Trocken Riesling 2018,Germany,Pfalz,Knipser,3.7,123,11.65,2018,11,65
The Dry Land Collection Courageous Barrel Fermented Chenin Blanc 2018,South Africa,Paarl,Perdeberg,4.1,123,11.9,2018,11,9
Toscana Bugia 2015,Italy,Toscana,Bibi Graetz,3.8,123,38.89,2015,38,89
Chardonnay Kreuth 2018,Italy,Südtirol - Alto Adige,Terlan (Terlano),4.0,123,16.39,2018,16,39
Ürziger Würzgarten Riesling Spätlese 2015,Germany,Mosel,Markus Molitor,4.0,123,20.95,2015,20,95
Kiedricher Riesling Trocken 2017,Germany,Rheingau,Robert Weil,3.9,123,17.9,2017,17,9
Chardonnay 2017,Chile,Central Valley,Viña Maipo,3.3,123,9.9,2017,9,9
Mineral Riesling Trocken 2016,Germany,Nahe,Emrich-Schönleber,3.9,123,15.95,2016,15,95
Catarratto 2018,Italy,Terre Siciliane,Baglio di Pianetto,3.7,124,8.45,2018,8,45
Allnatt Vieilles Vignes Chardonnay 2018,France,Pays d'Oc,Paul Mas,4.1,124,11.25,2018,11,25
Chenin Blanc (Steen op Hout) 2018,South Africa,Stellenbosch,Mulderbosch,3.5,124,10.5,2018,10,5
Johannishof Riesling Trocken 2016,Germany,Pfalz,Knipser,3.7,124,9.39,2016,9,39
Molino a Vento Grillo 2018,Italy,Terre Siciliane,Tenute Orestiadi,3.6,124,5.74,2018,5,74
Pinot Grigio 2019,Italy,delle Venezie,Zenato,3.6,124,5.35,2019,5,35
Sauvignon Blanc 2018,Australia,South Australia,Oxford Landing,3.2,124,7.9,2018,7,9
